P_id,start_time,end_time,mean_GSR,std_GSR,mean_HR,std_HR,mean_Valence,std_Valence,median_Valence,mean_Arousal,std_Arousal,median_Arousal,videoID,change_score,Valence,Arousal,Index
1,1.69581E+12,1.69581E+12,538.38,0.901,216.94,0.913,5,0,5,5,0,5,1,0.46178118,0,0,1
1,1.69581E+12,1.69581E+12,537.3,2.243,216.86,0.857,7.115,1.164,7.13,5.018,0.07,5,1,0.46178118,1,1,2
1,1.69581E+12,1.69581E+12,528.02,1.392,217.02,0.845,8.389,0.368,8.47,5.991,0.255,6.07,1,8.046204077,1,1,3
1,1.69581E+12,1.69581E+12,531.48,1.474,216.82,0.873,8.389,0.368,8.47,5.991,0.255,6.07,1,3.993925495,1,1,4
1,1.69581E+12,1.69581E+12,534.46,0.908,216.96,0.903,8.389,0.368,8.47,5.991,0.255,6.07,1,2.150951045,1,1,5
1,1.69581E+12,1.69581E+12,536.74,1.026,217,0.756,8.389,0.368,8.47,5.991,0.255,6.07,1,2.093338598,1,1,6
1,1.69581E+12,1.69581E+12,538.12,0.799,216.84,0.71,8.389,0.368,8.47,5.991,0.255,6.07,1,2.164846393,1,1,7
1,1.69581E+12,1.69581E+12,540.06,0.682,216.9,0.707,8.389,0.368,8.47,5.991,0.255,6.07,1,3.312871334,1,1,8
1,1.69581E+12,1.69581E+12,542.14,1.325,216.96,0.856,8.389,0.368,8.47,5.991,0.255,6.07,1,3.034752742,1,1,9
1,1.69581E+12,1.69581E+12,543.9,0.953,217.04,0.88,8.389,0.368,8.47,5.991,0.255,6.07,1,1.642794408,1,1,10
1,1.69581E+12,1.69581E+12,545.5,1.359,217.04,0.856,7.93,0,7.93,4.6,0.962,4.6,1,2.614847953,1,0,11
1,1.69581E+12,1.69581E+12,546.8,0.926,216.96,0.781,7.93,0,7.93,4.6,0.962,4.6,1,1.531775955,1,0,12
1,1.69581E+12,1.69581E+12,549.06,1.038,217.16,0.817,7.93,0,7.93,4.6,0.962,4.6,1,4.91729056,1,0,13
1,1.69581E+12,1.69581E+12,550.22,0.79,216.94,0.843,7.997,0.135,7.93,2.533,0.259,2.465,1,2.027404939,1,0,14
1,1.69581E+12,1.69581E+12,549.88,0.982,216.88,0.824,8.47,0,8.47,2.33,0,2.33,1,0.559239315,1,0,15
1,1.69581E+12,1.69581E+12,551.32,0.819,217.18,0.983,8.47,0,8.47,2.33,0,2.33,1,2.359102206,1,0,16
1,1.69581E+12,1.69581E+12,552,0.639,216.92,0.752,8.6,0.184,8.6,2.33,0,2.33,1,1.324141274,1,0,17
1,1.69581E+12,1.69581E+12,551.96,0.638,217.06,0.74,8.6,0.184,8.6,2.33,0,2.33,1,0.000699883,1,0,18
1,1.69581E+12,1.69581E+12,553.16,0.71,216.76,0.847,8.6,0.184,8.6,2.33,0,2.33,1,3.281080747,1,0,19
1,1.69581E+12,1.69581E+12,554.18,0.748,216.96,0.947,8.6,0.184,8.6,2.33,0,2.33,1,2.859362495,1,0,20
1,1.69581E+12,1.69581E+12,554.24,0.981,217.1,0.707,8.47,0,8.47,4.467,1.192,4.47,1,0.094489762,1,0,21
1,1.69581E+12,1.69581E+12,550.16,0.738,216.94,0.89,8.733,0.265,8.73,6.6,0,6.6,1,7.133976866,1,1,22
1,1.69581E+12,1.69581E+12,547.92,1.426,217.2,0.833,8.733,0.265,8.73,6.6,0,6.6,1,4.722589295,1,1,23
1,1.69581E+12,1.69581E+12,548.22,1.112,217.02,0.845,8.733,0.265,8.73,6.6,0,6.6,1,0.057281177,1,1,24
1,1.69581E+12,1.69581E+12,545.98,0.892,217.06,0.793,8.733,0.265,8.73,6.6,0,6.6,1,3.326042247,1,1,25
1,1.69581E+12,1.69581E+12,546.52,0.974,216.8,0.782,8.733,0.265,8.73,6.6,0,6.6,1,0.217052304,1,1,26
1,1.69581E+12,1.69581E+12,544.28,2.658,216.78,0.815,8.733,0.265,8.73,6.6,0,6.6,1,1.963409822,1,1,27
1,1.69581E+12,1.69581E+12,535.06,1.391,216.04,0.856,9,0,9,6.87,0,6.87,1,8.594193263,1,1,28
1,1.69581E+12,1.69581E+12,537.6,1.245,215.86,0.783,9,0,9,7.265,0.191,7.265,1,3.118341256,1,1,29
1,1.69581E+12,1.69581E+12,539.1,0.763,215.92,0.829,7.667,0.73,7.67,7.4,0,7.4,1,2.907816669,1,1,30
1,1.69581E+12,1.69581E+12,538.76,0.916,216.02,1,4.074,1.31,3.93,7.259,0.313,7.4,1,0.078392304,0,1,31
1,1.69581E+12,1.69581E+12,539.88,1.189,216.12,0.773,4.074,1.31,3.93,7.259,0.313,7.4,1,1.67069933,0,1,32
1,1.69581E+12,1.69581E+12,542.98,0.892,216.16,1.037,4.074,1.31,3.93,7.259,0.313,7.4,1,3.69396257,0,1,33
1,1.69581E+12,1.69581E+12,545.02,0.742,216.06,0.767,5.255,1.753,5.27,6.588,0.056,6.6,1,2.740490514,1,1,34
1,1.69581E+12,1.69581E+12,547.04,0.856,216.16,0.738,7.67,0,7.67,5.095,1.059,5.135,1,3.955539093,1,1,35
1,1.69582E+12,1.69582E+12,534.66,0.848,215.5,0.678,5,0,5,5,0,5,2,0.359193262,0,0,36
1,1.69582E+12,1.69582E+12,534.02,0.685,215.52,0.735,5.135,0.191,5.135,5.27,0,5.27,2,0.359193262,1,1,37
1,1.69582E+12,1.69582E+12,533.06,1.331,215.38,0.697,5.71,0.156,5.8,5.62,0.156,5.53,2,2.00128865,1,1,38
1,1.69582E+12,1.69582E+12,532.68,0.913,215.4,0.728,6.07,0,6.07,5.935,0.191,5.935,2,0.088939864,1,1,39
1,1.69582E+12,1.69582E+12,534.02,1.02,215.46,0.613,6.07,0,6.07,5.935,0.191,5.935,2,2.94065768,1,1,40
1,1.69582E+12,1.69582E+12,535.78,0.996,215.46,0.734,6.07,0,6.07,5.935,0.191,5.935,2,3.433218858,1,1,41
1,1.69582E+12,1.69582E+12,536.14,0.808,215.64,0.776,6.07,0,6.07,5.935,0.191,5.935,2,0.001806699,1,1,42
1,1.69582E+12,1.69582E+12,536.66,0.939,215.54,0.734,6.07,0,6.07,5.935,0.191,5.935,2,0.696675404,1,1,43
1,1.69582E+12,1.69582E+12,538.98,1.04,215.56,0.787,6.07,0,6.07,5.935,0.191,5.935,2,4.968826161,1,1,44
1,1.69582E+12,1.69582E+12,540.74,0.777,215.34,0.872,6.07,0,6.07,6.33,0,6.33,2,3.173899973,1,1,45
1,1.69582E+12,1.69582E+12,542.22,0.764,215.34,0.798,6.07,0,6.07,6.33,0,6.33,2,3.406514947,1,1,46
1,1.69582E+12,1.69582E+12,543.72,0.671,215.4,0.782,6.07,0,6.07,6.33,0,6.33,2,3.918117109,1,1,47
1,1.69582E+12,1.69582E+12,545.1,0.814,215.5,0.647,6.07,0,6.07,6.33,0,6.33,2,2.382893606,1,1,48
1,1.69582E+12,1.69582E+12,546.38,0.878,215.48,0.762,6.07,0,6.07,6.33,0,6.33,2,2.086071274,1,1,49
1,1.69582E+12,1.69582E+12,547.66,0.798,215.38,0.635,6.07,0,6.07,6.33,0,6.33,2,2.617102545,1,1,50
1,1.69582E+12,1.69582E+12,549.18,0.825,215.42,0.758,6.07,0,6.07,6.33,0,6.33,2,4.157544703,1,1,51
1,1.69582E+12,1.69582E+12,549.98,0.685,215.54,0.734,6.07,0,6.07,6.07,0,6.07,2,0.653806244,1,1,52
1,1.69582E+12,1.69582E+12,551.12,0.718,215.5,0.678,6.07,0,6.07,6.07,0,6.07,2,2.579650829,1,1,53
1,1.69582E+12,1.69582E+12,552.24,0.744,215.36,0.749,6.07,0,6.07,6.07,0,6.07,2,1.807735041,1,1,54
1,1.69582E+12,1.69582E+12,552.98,0.869,215.36,0.598,6.07,0,6.07,6.07,0,6.07,2,0.804076554,1,1,55
1,1.69582E+12,1.69582E+12,553.68,0.741,215.26,0.777,6.07,0,6.07,6.07,0,6.07,2,0.416250336,1,1,56
1,1.69582E+12,1.69582E+12,554.4,0.728,215.56,0.675,6.07,0,6.07,5.8,0,5.8,2,0.529910222,1,1,57
1,1.69582E+12,1.69582E+12,555.1,0.863,215.48,0.646,6.07,0,6.07,5.8,0,5.8,2,0.343590701,1,1,58
1,1.69582E+12,1.69582E+12,555.94,0.793,215.52,0.677,6.07,0,6.07,5.8,0,5.8,2,1.688510373,1,1,59
1,1.69582E+12,1.69582E+12,556.66,0.798,215.54,0.706,5.8,0,5.8,5.8,0,5.8,2,1.013992751,1,1,60
1,1.69582E+12,1.69582E+12,557.28,0.757,215.38,0.667,5.53,0,5.53,5.8,0,5.8,2,0.747244949,1,1,61
1,1.69582E+12,1.69582E+12,558.08,0.665,215.28,0.701,5.53,0,5.53,5.8,0,5.8,2,1.39304646,1,1,62
1,1.69582E+12,1.69582E+12,558.92,0.665,215.5,0.735,5.27,0,5.27,5.8,0,5.8,2,1.661726004,1,1,63
1,1.69582E+12,1.69582E+12,559.46,0.646,215.58,0.575,5.27,0,5.27,5.8,0,5.8,2,0.335177277,1,1,64
1,1.69582E+12,1.69582E+12,559.9,0.678,215.44,0.837,5.27,0,5.27,6.2,0.184,6.2,2,0.848582933,1,1,65
1,1.69582E+12,1.69582E+12,560.56,0.733,215.6,0.756,5.533,0.265,5.53,6.6,0,6.6,2,0.516459728,1,1,66
1,1.69582E+12,1.69582E+12,560.88,0.799,215.48,0.814,5.8,0,5.8,7,0.184,7,2,0.00127929,1,1,67
1,1.69582E+12,1.69582E+12,561.46,0.646,215.46,0.676,5.8,0,5.8,7,0.184,7,2,0.35661281,1,1,68
1,1.69582E+12,1.69582E+12,561.72,0.671,215.58,0.673,5.8,0,5.8,7,0.184,7,2,0.002553416,1,1,69
1,1.69582E+12,1.69582E+12,557.6,0.904,213.98,0.845,5,0,5,5,0,5,3,0.002734577,0,0,70
1,1.69582E+12,1.69582E+12,557.28,1.011,214.06,0.74,7.13,0,7.13,6.87,0,6.87,3,0.002734577,1,1,71
1,1.69582E+12,1.69582E+12,553.08,1.307,214.06,0.652,5.135,0.191,5.135,5.27,0,5.27,3,3.583232242,1,1,72
1,1.69582E+12,1.69582E+12,552.02,0.714,213.86,0.639,5.335,0.13,5.27,5.867,0.259,5.935,3,1.231062334,1,1,73
1,1.69582E+12,1.69582E+12,552.18,0.8,213.92,0.634,5.8,0,5.8,6.2,0.184,6.2,3,0.002301988,1,1,74
1,1.69582E+12,1.69582E+12,551.98,0.553,214.14,0.808,5.8,0,5.8,6.2,0.184,6.2,3,0.411026048,1,1,75
1,1.69582E+12,1.69582E+12,552.68,0.868,214.1,0.544,6.07,0,6.07,6.33,0,6.33,3,0.615847665,1,1,76
1,1.69582E+12,1.69582E+12,553.24,0.716,214.12,0.773,6.07,0,6.07,6.33,0,6.33,3,0.79226727,1,1,77
1,1.69582E+12,1.69582E+12,554.2,0.728,214.04,0.699,6.07,0,6.07,6.33,0,6.33,3,1.934151923,1,1,78
1,1.69582E+12,1.69582E+12,554.98,0.685,214.02,0.742,6.07,0,6.07,6.33,0,6.33,3,1.129414168,1,1,79
1,1.69582E+12,1.69582E+12,556.04,0.755,214.08,0.695,6.07,0,6.07,6.33,0,6.33,3,0.816813318,1,1,80
1,1.69582E+12,1.69582E+12,556.98,0.82,213.9,0.735,6.07,0,6.07,6.33,0,6.33,3,1.684438712,1,1,81
1,1.69582E+12,1.69582E+12,557.74,0.751,213.8,0.606,6.07,0,6.07,6.33,0,6.33,3,0.92870593,1,1,82
